Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,349,349,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,950,950,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2690,2690,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,6021,6021,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,9114,9114,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,8365,8365,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,6093,6093,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,2,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,33674,33674,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,158,162,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,640,649,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,1690,1713,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,5079,5159,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,12784,13033,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,23431,24012,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,28727,29476,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory failure,J96,85+,27549,28091,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,2,2,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory failure,J96,All Ages,100060,102297,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,13,13,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,41,41,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,94,94,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,255,255,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,638,638,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,1178,1178,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,1596,1596,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,2091,2091,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All Ages,5906,5906,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,27,29,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,88,94,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,224,233,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,549,577,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,1360,1438,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,2407,2528,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,2944,3054,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,3020,3073,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,10619,11026,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,25,25,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,167,169,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,720,726,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,2382,2401,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,6834,6875,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,12856,12918,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,16414,16528,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,19557,19750,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,58955,59392,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,5,6,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,40,42,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,156,163,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,709,749,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,2713,2895,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,6407,6801,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,9712,10227,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,11474,12018,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,1,1,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,31217,32902,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,78,78,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,302,302,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,730,730,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,2086,2086,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,4688,4690,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,7582,7582,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,8258,8259,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,8670,8671,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrest,I46,All Ages,32394,32398,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,15,15,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,40,40,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,117,119,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,397,412,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,1337,1369,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,3416,3504,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,5895,6021,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,8037,8179,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,19254,19659,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Heart failure,I50,0-24,9,9,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Heart failure,I50,25-34,55,55,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Heart failure,I50,35-44,134,134,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Heart failure,I50,45-54,476,476,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Heart failure,I50,55-64,1563,1564,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Heart failure,I50,65-74,3509,3512,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Heart failure,I50,75-84,5841,5843,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Heart failure,I50,85+,9036,9038,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Heart failure,I50,All Ages,20623,20631,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,12,12,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,41,44,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,136,148,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,475,498,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,1548,1602,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,3089,3176,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,4110,4187,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,4678,4786,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,1,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,14090,14454,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,59,71,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,152,174,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,341,391,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,850,936,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,1995,2156,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,3462,3776,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,4234,4589,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,4906,5293,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,15999,17386,
12/20/2020,02/01/2020,12/19/2020,US,Sepsis,Sepsis,A40-A41,0-24,55,56,
12/20/2020,02/01/2020,12/19/2020,US,Sepsis,Sepsis,A40-A41,25-34,231,231,
12/20/2020,02/01/2020,12/19/2020,US,Sepsis,Sepsis,A40-A41,35-44,604,604,
12/20/2020,02/01/2020,12/19/2020,US,Sepsis,Sepsis,A40-A41,45-54,1835,1835,
12/20/2020,02/01/2020,12/19/2020,US,Sepsis,Sepsis,A40-A41,55-64,4403,4406,
12/20/2020,02/01/2020,12/19/2020,US,Sepsis,Sepsis,A40-A41,65-74,7401,7404,
12/20/2020,02/01/2020,12/19/2020,US,Sepsis,Sepsis,A40-A41,75-84,6919,6922,
12/20/2020,02/01/2020,12/19/2020,US,Sepsis,Sepsis,A40-A41,85+,4895,4896,
12/20/2020,02/01/2020,12/19/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Sepsis,Sepsis,A40-A41,All Ages,26343,26354,
12/20/2020,02/01/2020,12/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,35,40,
12/20/2020,02/01/2020,12/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,52,60,
12/20/2020,02/01/2020,12/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,150,160,
12/20/2020,02/01/2020,12/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,413,478,
12/20/2020,02/01/2020,12/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1578,1809,
12/20/2020,02/01/2020,12/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,3256,3655,
12/20/2020,02/01/2020,12/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,3747,4217,
12/20/2020,02/01/2020,12/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,3162,3484,
12/20/2020,02/01/2020,12/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,12393,13903,
12/20/2020,02/01/2020,12/19/2020,US,Diabetes,Diabetes,E10-E14,0-24,66,66,
12/20/2020,02/01/2020,12/19/2020,US,Diabetes,Diabetes,E10-E14,25-34,271,272,
12/20/2020,02/01/2020,12/19/2020,US,Diabetes,Diabetes,E10-E14,35-44,963,970,
12/20/2020,02/01/2020,12/19/2020,US,Diabetes,Diabetes,E10-E14,45-54,2907,2925,
12/20/2020,02/01/2020,12/19/2020,US,Diabetes,Diabetes,E10-E14,55-64,7254,7296,
12/20/2020,02/01/2020,12/19/2020,US,Diabetes,Diabetes,E10-E14,65-74,12321,12383,
12/20/2020,02/01/2020,12/19/2020,US,Diabetes,Diabetes,E10-E14,75-84,12658,12708,
12/20/2020,02/01/2020,12/19/2020,US,Diabetes,Diabetes,E10-E14,85+,9384,9413,
12/20/2020,02/01/2020,12/19/2020,US,Diabetes,Diabetes,E10-E14,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Diabetes,Diabetes,E10-E14,All Ages,45824,46033,
12/20/2020,02/01/2020,12/19/2020,US,Obesity,Obesity,E65-E68,0-24,129,129,
12/20/2020,02/01/2020,12/19/2020,US,Obesity,Obesity,E65-E68,25-34,453,454,
12/20/2020,02/01/2020,12/19/2020,US,Obesity,Obesity,E65-E68,35-44,1037,1042,
12/20/2020,02/01/2020,12/19/2020,US,Obesity,Obesity,E65-E68,45-54,1814,1816,
12/20/2020,02/01/2020,12/19/2020,US,Obesity,Obesity,E65-E68,55-64,2683,2689,
12/20/2020,02/01/2020,12/19/2020,US,Obesity,Obesity,E65-E68,65-74,2777,2786,
12/20/2020,02/01/2020,12/19/2020,US,Obesity,Obesity,E65-E68,75-84,1509,1511,
12/20/2020,02/01/2020,12/19/2020,US,Obesity,Obesity,E65-E68,85+,401,401,
12/20/2020,02/01/2020,12/19/2020,US,Obesity,Obesity,E65-E68,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Obesity,Obesity,E65-E68,All Ages,10803,10828,
12/20/2020,02/01/2020,12/19/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,1,1,
12/20/2020,02/01/2020,12/19/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,6,6,
12/20/2020,02/01/2020,12/19/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,87,87,
12/20/2020,02/01/2020,12/19/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,736,737,
12/20/2020,02/01/2020,12/19/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,3222,3224,
12/20/2020,02/01/2020,12/19/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,7116,7131,
12/20/2020,02/01/2020,12/19/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Alzheimer disease,Alzheimer disease,G30,All Ages,11168,11186,
12/20/2020,02/01/2020,12/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,1,1,
12/20/2020,02/01/2020,12/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,3,3,
12/20/2020,02/01/2020,12/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,33,33,
12/20/2020,02/01/2020,12/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,450,450,
12/20/2020,02/01/2020,12/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,2842,2847,
12/20/2020,02/01/2020,12/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,9440,9453,
12/20/2020,02/01/2020,12/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,19020,19038,
12/20/2020,02/01/2020,12/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,31789,31825,
12/20/2020,02/01/2020,12/19/2020,US,Renal failure,Renal failure,N17-N19,0-24,30,31,
12/20/2020,02/01/2020,12/19/2020,US,Renal failure,Renal failure,N17-N19,25-34,179,189,
12/20/2020,02/01/2020,12/19/2020,US,Renal failure,Renal failure,N17-N19,35-44,488,498,
12/20/2020,02/01/2020,12/19/2020,US,Renal failure,Renal failure,N17-N19,45-54,1465,1503,
12/20/2020,02/01/2020,12/19/2020,US,Renal failure,Renal failure,N17-N19,55-64,3628,3745,
12/20/2020,02/01/2020,12/19/2020,US,Renal failure,Renal failure,N17-N19,65-74,6356,6602,
12/20/2020,02/01/2020,12/19/2020,US,Renal failure,Renal failure,N17-N19,75-84,6781,7098,
12/20/2020,02/01/2020,12/19/2020,US,Renal failure,Renal failure,N17-N19,85+,6022,6309,
12/20/2020,02/01/2020,12/19/2020,US,Renal failure,Renal failure,N17-N19,Not stated,1,2,
12/20/2020,02/01/2020,12/19/2020,US,Renal failure,Renal failure,N17-N19,All Ages,24950,25977,
12/20/2020,02/01/2020,12/19/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,39,107,
12/20/2020,02/01/2020,12/19/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,108,278,
12/20/2020,02/01/2020,12/19/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,146,356,
12/20/2020,02/01/2020,12/19/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,267,584,
12/20/2020,02/01/2020,12/19/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,606,1215,
12/20/2020,02/01/2020,12/19/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1011,1978,
12/20/2020,02/01/2020,12/19/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1291,2551,
12/20/2020,02/01/2020,12/19/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,1646,3410,
12/20/2020,02/01/2020,12/19/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,0,
12/20/2020,02/01/2020,12/19/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,5114,10479,
12/20/2020,02/01/2020,12/19/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,267,457,
12/20/2020,02/01/2020,12/19/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,798,1270,
12/20/2020,02/01/2020,12/19/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,1805,2833,
